0.00.038.117 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.038.145 W srv  llama_server: embeddings enabled with n_batch (2048) > n_ubatch (512)
0.00.038.145 W srv  llama_server: setting n_batch = n_ubatch = 512 to avoid assertion failure
0.00.038.465 W srv  llama_server: -----------------
0.00.038.466 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.038.467 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.038.467 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.038.467 W srv  llama_server: -----------------
0.00.039.680 I srv    load_model: loading model '/mnt/raid0/llm/models/bge-large-en-v1.5-f16.gguf'
0.00.244.663 W load: special_eos_id is not in special_eog_ids - the tokenizer config may be incorrect
0.00.367.838 W srv    load_model: speculative decoding not supported by this context
0.00.367.843 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 512, kv_unified = 'true'
0.00.369.366 I srv  llama_server: model loaded
0.00.369.373 I srv  llama_server: listening on http://127.0.0.1:8090
4.16.540.372 I slot launch_slot_: id  0 | task 145 | processing task, is_child = 0
4.16.548.730 I slot      release: id  0 | task 145 | stop processing: n_tokens = 58, truncated = 0
4.16.549.670 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 3126257525491
4.16.549.672 I slot launch_slot_: id  3 | task 147 | processing task, is_child = 0
4.16.557.807 I slot      release: id  3 | task 147 | stop processing: n_tokens = 43, truncated = 0
4.16.558.718 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.103 (> 0.100 thold), f_keep = 0.070
4.16.558.721 I slot launch_slot_: id  3 | task 149 | processing task, is_child = 0
4.16.571.186 I slot      release: id  3 | task 149 | stop processing: n_tokens = 29, truncated = 0
4.16.572.179 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 3126257537354
4.16.572.183 I slot launch_slot_: id  2 | task 151 | processing task, is_child = 0
4.16.581.283 I slot      release: id  2 | task 151 | stop processing: n_tokens = 46, truncated = 0
4.16.582.278 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 3126257547609
4.16.582.281 I slot launch_slot_: id  1 | task 153 | processing task, is_child = 0
4.16.590.671 I slot      release: id  1 | task 153 | stop processing: n_tokens = 55, truncated = 0
4.16.591.572 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 3126257556881
4.16.591.574 I slot launch_slot_: id  0 | task 155 | processing task, is_child = 0
4.16.599.821 I slot      release: id  0 | task 155 | stop processing: n_tokens = 54, truncated = 0
4.16.600.730 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 3126257579338
4.16.600.732 I slot launch_slot_: id  3 | task 157 | processing task, is_child = 0
4.16.608.902 I slot      release: id  3 | task 157 | stop processing: n_tokens = 45, truncated = 0
4.16.609.822 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 3126257589435
4.16.609.825 I slot launch_slot_: id  2 | task 159 | processing task, is_child = 0
4.16.621.738 I slot      release: id  2 | task 159 | stop processing: n_tokens = 52, truncated = 0
4.16.622.680 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 3126257598822
4.16.622.682 I slot launch_slot_: id  1 | task 161 | processing task, is_child = 0
4.16.630.806 I slot      release: id  1 | task 161 | stop processing: n_tokens = 43, truncated = 0
4.16.632.010 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 3126257607973
4.16.632.012 I slot launch_slot_: id  0 | task 163 | processing task, is_child = 0
4.16.640.422 I slot      release: id  0 | task 163 | stop processing: n_tokens = 57, truncated = 0
4.16.641.360 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 3126257617054
4.16.641.363 I slot launch_slot_: id  3 | task 165 | processing task, is_child = 0
4.16.649.938 I slot      release: id  3 | task 165 | stop processing: n_tokens = 79, truncated = 0
4.16.650.835 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 3126257629890
4.16.650.837 I slot launch_slot_: id  2 | task 167 | processing task, is_child = 0
4.16.663.591 I slot      release: id  2 | task 167 | stop processing: n_tokens = 51, truncated = 0
4.16.664.512 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 3126257638957
4.16.664.514 I slot launch_slot_: id  1 | task 169 | processing task, is_child = 0
4.16.673.018 I slot      release: id  1 | task 169 | stop processing: n_tokens = 68, truncated = 0
4.16.673.916 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 3126257648573
4.16.673.918 I slot launch_slot_: id  0 | task 171 | processing task, is_child = 0
4.16.682.234 I slot      release: id  0 | task 171 | stop processing: n_tokens = 56, truncated = 0
4.16.683.152 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 3126257658090
4.16.683.154 I slot launch_slot_: id  3 | task 173 | processing task, is_child = 0
4.16.691.469 I slot      release: id  3 | task 173 | stop processing: n_tokens = 54, truncated = 0
4.16.692.369 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 3126257671742
